ID,페르소나,질문유형,난이도,주제,질문,답변
G001,일반국민,단순질의,하,허위과장광고,허위·과장 광고로 처벌받은 사례가 있나요?,"허위·과장 광고는 표시·광고의 공정화에 관한 법률 제3조 위반으로 시정명령과 과징금이 부과됩니다. 본 시스템은 검색된 의결서 본문에서 구체 사건명과 처분내용을 발췌해 답변합니다. [의결서: 의결서명]"
G002,일반국민,단순질의,하,다단계판매,다단계판매업자 등록을 안 하면 어떤 처벌을 받나요?,"방문판매 등에 관한 법률 제13조 제1항에 따라 다단계판매업 등록을 하지 않은 자에 대해서는 시정명령·과징금 부과 또는 형사고발 조치가 내려집니다. [의결서: (주)○○○의 방문판매법 위반행위에 대한 건]"
G003,일반국민,단순질의,하,가맹사업,프랜차이즈 본사가 특정 물품 구매를 강제하면 위법인가요?,"가맹사업법 제12조 제1항 제2호 부당한 구입강제 행위로 위법입니다. 시정명령과 과징금이 부과되며 반복 시 고발됩니다. [의결서: ○○○의 가맹사업법 위반행위에 대한 건]"
G004,일반국민,단순질의,하,가격담합,여러 회사가 가격을 맞추기로 합의하면 어떻게 되나요?,"공정거래법 제40조 부당한 공동행위(담합)로 시정명령·과징금·형사고발 모두 가능합니다. 과징금은 매출액의 최대 10%까지 부과될 수 있습니다."
G005,일반국민,사례,하,온라인쇼핑,온라인 쇼핑몰이 환불을 거부하면 어떻게 되나요?,"전자상거래법 제17조에 따라 7일 이내 청약철회권이 보장되며 사업자는 거부할 수 없습니다. 위반 시 시정명령·과징금 부과 대상입니다."
G006,일반국민,단순질의,하,약관,고객에게 일방적으로 불리한 약관 조항은 효력이 있나요?,"약관규제법 제6조 신의성실의 원칙에 반하여 공정을 잃은 약관 조항은 무효입니다. 공정위가 시정조치를 내릴 수 있습니다."
G007,일반국민,사례,하,영업지역,가맹점 근처에 본사 직영점이 들어와도 되나요?,"가맹사업법 제12조의4 영업지역 침해 금지 의무에 위반될 수 있습니다. 사전 협의 없이 직영점·다른 가맹점을 설치하면 위법입니다."
G008,일반국민,단순질의,하,비교광고,다른 회사 제품과 비교해 우리 게 더 좋다고 광고해도 되나요?,"객관적 근거 없이 비교하면 표시광고법 제3조 기만적 비교광고로 위법합니다. 시정명령·과징금 부과 대상입니다."
G009,일반국민,사례,하,끼워팔기,세트로만 판매하는 게 항상 위법인가요?,"시장지배적 지위 사업자가 끼워팔기로 경쟁을 제한하면 공정거래법 제5조 위반. 일반 사업자의 자율 끼워팔기는 위법성 판단 별도."
G010,일반국민,단순질의,하,하도급,원청이 하도급 대금을 일방적으로 깎으면 신고할 수 있나요?,"하도급법 제4조 부당한 하도급대금 결정 금지 위반입니다. 공정위 신고로 시정명령·과징금·고발 조치가 가능합니다."
G011,일반국민,단순질의,하,거래거절,갑자기 거래를 끊어도 되나요?,"공정거래법 제45조 부당한 거래거절은 위법입니다. 정당한 사유와 사전 통보 없는 일방적 거래 단절은 시정명령 대상."
G012,일반국민,사례,중,재판매가격,제조사가 소매가격을 강제하면 어떻게 되나요?,"공정거래법 제46조 재판매가격유지행위는 원칙적 금지. 시정명령과 과징금이 부과됩니다."
G013,일반국민,사례,하,청약철회,상조회사 가입 후 환불받을 수 있나요?,"할부거래법 제8조 청약철회권 14일 보장. 환불 거부·지연은 시정명령·과태료 부과 대상."
G014,일반국민,단순질의,하,부당반품,대형마트가 납품업체에 반품을 요구하면 위법인가요?,"대규모유통업법 제10조 부당 반품 금지 위반입니다. 시정명령·과징금 부과."
G015,일반국민,단순질의,하,후원수당,방문판매 후원수당 지급에 제한이 있나요?,"방문판매법 제20조 후원수당 지급기준은 미리 정해 공개해야 하며, 변경 시 사전 통지 필수. 위반 시 시정명령·과징금."
C001,기업 컴플라이언스 담당자,사전진단,중,가격담합,경쟁사와 정기 회의에서 가격 인상 시점을 논의하면 위법한가요?,"공정거래법 제40조 제1항 제1호 가격 결정 합의에 해당. 합의 사실만으로도 위법 성립. 과징금 최대 매출액의 10% + 형사고발 가능. 즉시 중단 권고."
C002,기업 컴플라이언스 담당자,사전진단,중,입찰담합,경쟁사와 입찰가를 사전 조율하면 어떤 처분?,"공정거래법 제40조 제1항 제8호 입찰담합. 과징금 + 형사고발 + 부정당업자 제재. 자진신고감면(리니언시) 1순위는 100% 면제."
C003,기업 컴플라이언스 담당자,법조항,상,하도급,하도급법 제4조와 제16조의 차이는?,"제4조: 부당한 하도급대금 결정(단가 부당 인하). 제16조: 부당한 위탁취소·반품. 둘 다 시정명령+과징금 대상이나 입증 요건과 산정 방식 다름."
C004,기업 컴플라이언스 담당자,사전진단,중,영업지역,새 가맹점을 기존 가맹점 인근에 출점하려는데 안전한가?,"가맹사업법 제12조의4 영업지역 침해 금지. 가맹계약서에 명시된 영업지역 범위 내에 신규 가맹점·직영점 설치는 위법. 사전 협의 + 동의 필수."
C005,기업 컴플라이언스 담당자,사전진단,상,시장지배,당사 시장점유율 60%인데 끼워팔기는 가능한가?,"공정거래법 제5조 시장지배적지위 남용 행위로 끼워팔기는 부당한 거래조건 부과로 위법. 시정명령·과징금 + 형사고발."
C006,기업 컴플라이언스 담당자,사례,중,구입강제,가맹점에 본사 지정 인테리어를 강제하는 게 합법인가요?,"가맹사업법 제12조 제1항 제2호. 사업 운영에 필수적이지 않은 품목 구입 강제는 위법. 인테리어가 메뉴 조리에 필수적인지 객관적 입증 필요."
C007,기업 컴플라이언스 담당자,법조항,상,과징금,공정거래법 위반 과징금 산정 방식은?,"공정거래법 제50조 + 시행령 별표2. 관련 매출액 × 부과기준율(0.1~10%) × 가중·감경 요소. 자진시정 시 최대 50% 감경."
C008,기업 컴플라이언스 담당자,사전진단,중,부당반품,납품업체에서 시즌오프 상품을 반품하려는데 가능한가?,"대규모유통업법 제10조. 사전 약정 + 정당한 사유 + 비용 대형유통업자 부담 시 가능. 그 외 일방적 반품은 위법."
C009,기업 컴플라이언스 담당자,사전진단,상,재판매가격유지,온라인 가격 일률 정책을 가맹점에 강제하면?,"공정거래법 제46조 재판매가격유지행위. 명시적·묵시적 강제 모두 해당. 정당화 사유(브랜드 동질성 등) 입증 필요. 위반 시 과징금."
C010,기업 컴플라이언스 담당자,법조항,중,사전협의,M&A 신고가 필요한 거래 규모는?,"공정거래법 제11조. 자산총액 또는 매출액 합계 3,000억 이상 기업결합은 신고 의무. 미신고 시 이행강제금 + 시정명령."
C011,기업 컴플라이언스 담당자,사례,상,자진신고,담합 사실을 자진신고하면 처벌 면제되나?,"공정거래법 제44조 자진신고감면(리니언시). 1순위: 과징금·형벌 100% 면제. 2순위: 50% 감경. 단, 진술 일관성 + 조사 협조 필수."
C012,기업 컴플라이언스 담당자,사전진단,중,청약철회,SaaS 구독 서비스도 청약철회권이 있나요?,"전자상거래법 제17조. 디지털콘텐츠 일부 제공 후에는 청약철회 제한 가능. 약관에 명시 + 청약 시 고지 필수. 위반 시 시정명령."
C013,기업 컴플라이언스 담당자,사례,상,거래상지위,중소 협력업체에 일방적 단가 인하 통보는?,"공정거래법 제45조 거래상지위남용. 거래의존도 + 강요 정황 입증되면 시정명령·과징금. 협력업체 측 신고로 다수 적발 사례."
C014,기업 컴플라이언스 담당자,법조항,중,과태료,공정거래 자료제출 거부 시 과태료는?,"공정거래법 제130조. 자료 미제출·허위제출 시 1억원 이하 과태료. 정당한 사유 없이 출석 거부 시 동일."
C015,기업 컴플라이언스 담당자,사전진단,상,부당지원,계열사 간 무이자 대여는 부당지원인가?,"공정거래법 제45조 제1항 제9호. 정상가격(시장이자율) 대비 현저히 유리한 조건 + 경쟁제한 효과 입증되면 시정명령·과징금."
S001,논문 준비 학생,통계,중,트렌드,최근 5년간 가장 많이 적발된 위반유형은?,"공정거래위원회 의결서 데이터 분석 시 가격담합·하도급법 위반·표시광고법 위반이 상위. 본 시스템으로 의결서 검색 후 통계 추출 가능."
S002,논문 준비 학생,비교,상,법령,공정거래법과 가맹사업법의 적용 우선순위는?,"가맹사업법은 공정거래법의 특별법 성격. 가맹 거래 관련은 가맹사업법 우선 적용. 명시 규정 없는 경우 공정거래법 보충 적용."
S003,논문 준비 학생,사례,중,판례,재판매가격유지의 정당화 사유 인정 사례는?,"대법원 2010두24371 판결: 정당한 이유(브랜드 가치 보호·소비자 후생 증가) 입증되면 위법성 조각. 의결서 검색으로 구체 사례 추출 가능."
S004,논문 준비 학생,비교,상,산정,EU·미국 대비 한국 과징금 산정 차이?,"EU: 매출액 기준 최대 10%. 미국: 형사벌금 + 민사 손해배상 3배 가중. 한국: 매출액 기준 최대 10% + 형사고발."
S005,논문 준비 학생,통계,중,통계,자진신고감면 제도 활용 사건 비율은?,"전체 담합 사건의 약 40-50%가 리니언시 자진신고로 적발. 1순위 100% 면제, 2순위 50% 감경 인센티브 효과."
S006,논문 준비 학생,사례,상,판례,시장지배적지위 남용으로 인정된 끼워팔기 사례?,"마이크로소프트 윈도우-메신저 끼워팔기(2006), 인텔 리베이트(2008) 등. 본 시스템 검색으로 한국 사례 의결서 추출."
